Sample A,Sample B,U Statistic,p-value,Significant?
Diborane_3,HNO3_2,8446.5,1.2577133704507162e-08,✅
HCHO_2,MH-4,8373.0,1.279937002329976e-08,✅
Arsine_6,SO2_6,3219.0,1.281760190332995e-08,✅
HCHO_1,Control_1_2min,3228.5,1.4466956895703936e-08,✅
Arsine_6,Phosgene_3,3229.5,1.4650590897933478e-08,✅
Phosphine_3,Phosgene_5,8431.5,1.5220714510572018e-08,✅
Diborane_2,Diborane_7,3237.0,1.6114607272939357e-08,✅
Phosphine_2,Phosphine_4,3241.5,1.705840167070758e-08,✅
Arsine_7,Diborane_1,8422.0,1.716540809037207e-08,✅
Diborane_3,SO2_2,8422.0,1.716741562675913e-08,✅
HCHO_1,HCHO_3,3245.0,1.7830118273836153e-08,✅
Arsine_5,Diborane_6,3245.0,1.7830465018517948e-08,✅
Diborane_7,TA_7,8415.5,1.863551106150157e-08,✅
Arsine_6,HCN_2,3249.5,1.8861199194054927e-08,✅
Diborane_1,Phosphine_5,3254.5,2.009584222296267e-08,✅
Phosphine_3,Phosgene_7,8409.0,2.0225018346715027e-08,✅
Control_1_2min,Phosphine_6,8409.0,2.0225018346715027e-08,✅
Diborane_7,Phosphine_1,8408.0,2.0481840069372336e-08,✅
Phosphine_3,H2S_3,8402.5,2.1945830179447476e-08,✅
Control_5_2min,MH-7,8396.5,2.366048571778863e-08,✅
Phosphine_3,H2S_7,8394.0,2.4413617273443523e-08,✅
Diborane_3,Ammonia_5,8394.0,2.4414782018828458e-08,✅
HCHO_2,Control_7_2min,8322.0,2.4483933000104924e-08,✅
Phosphine_3,Phosgene_2,8388.0,2.6314389131609086e-08,✅
Diborane_3,Hydrazine_5,8388.0,2.6316138756075353e-08,✅
HCHO_5,Phosphine_4,3280.0,2.7661679152347137e-08,✅
Diborane_7,Ammonia_1,8384.0,2.7662464970600773e-08,✅
Diborane_3,TA_4,8382.5,2.8184473664675583e-08,✅
HCHO_2,H2S_3,8306.5,2.9748841172910645e-08,✅
Arsine_6,F2_5,3286.5,2.999049297424958e-08,✅
Arsine_2,Diborane_1,8376.5,3.035830482659903e-08,✅
